日期,医生等级,每日病例量,每日总费用,每日费用病例比,该等级医生数量,工作日/周末
2023-10-14,中级,1.0,0.0,0.0,1,周末
2023-10-14,高级,4.0,0.0,0.0,2,周末
2023-10-16,中级,2.0,0.0,0.0,1,工作日
2023-10-19,中级,9.6,0.0,0.0,5,工作日
2023-10-19,初级,4.0,0.0,0.0,1,工作日
2023-10-19,高级,6.0,0.0,0.0,5,工作日
2023-10-20,中级,14.0,0.0,0.0,2,工作日
2023-10-20,初级,6.0,0.0,0.0,1,工作日
2023-10-20,高级,14.0,0.0,0.0,4,工作日
2023-10-21,中级,22.0,0.0,0.0,3,周末
2023-10-21,初级,2.0,0.0,0.0,1,周末
2023-10-21,高级,16.8,0.0,0.0,5,周末
2023-10-22,中级,23.33,0.0,0.0,3,周末
2023-10-22,初级,20.0,0.0,0.0,1,周末
2023-10-22,高级,19.67,0.0,0.0,6,周末
2023-10-23,中级,20.0,0.0,0.0,2,工作日
2023-10-23,高级,20.0,0.0,0.0,2,工作日
2023-10-24,中级,12.0,0.0,0.0,2,工作日
2023-10-24,高级,21.33,0.0,0.0,3,工作日
2023-10-25,中级,18.67,3020.0,161.76,3,工作日
2023-10-25,高级,19.0,0.0,0.0,2,工作日
2023-10-26,中级,21.0,480.0,22.86,2,工作日
2023-10-26,初级,22.0,7660.0,348.18,1,工作日
2023-10-26,高级,27.33,0.0,0.0,3,工作日
2023-10-27,中级,23.33,1660.0,71.15,3,工作日
2023-10-27,初级,12.0,5460.0,455.0,1,工作日
2023-10-27,高级,24.0,0.0,0.0,2,工作日
2023-10-28,中级,22.67,14620.0,644.91,3,周末
2023-10-28,高级,18.5,4440.0,240.0,4,周末
2023-10-29,中级,18.8,16280.0,865.96,5,周末
2023-10-29,初级,16.0,9580.0,598.75,1,周末
2023-10-29,高级,19.5,0.0,0.0,4,周末
2023-10-30,中级,20.67,0.0,0.0,3,工作日
2023-10-30,初级,18.0,6860.0,381.11,1,工作日
2023-10-30,高级,9.0,0.0,0.0,2,工作日
2023-10-31,中级,19.5,4540.0,232.82,4,工作日
2023-10-31,高级,21.0,0.0,0.0,2,工作日
2023-11-01,中级,10.33,9143.0,885.09,3,工作日
2023-11-01,初级,7.0,3550.0,507.14,1,工作日
2023-11-01,高级,20.5,0.0,0.0,2,工作日
2023-11-02,中级,10.25,11270.0,1099.51,4,工作日
2023-11-02,高级,18.0,0.0,0.0,1,工作日
2023-11-03,中级,12.5,5982.0,478.56,4,工作日
2023-11-03,高级,10.0,0.0,0.0,2,工作日
2023-11-04,中级,8.75,8520.0,973.71,4,周末
2023-11-04,高级,10.75,0.0,0.0,4,周末
2023-11-05,中级,12.0,3160.0,263.33,2,周末
2023-11-05,初级,8.0,4520.0,565.0,1,周末
2023-11-05,高级,10.8,0.0,0.0,5,周末
2023-11-06,中级,6.5,2080.0,320.0,4,工作日
2023-11-06,初级,3.0,1290.0,430.0,1,工作日
2023-11-06,高级,6.67,0.0,0.0,3,工作日
2023-11-07,中级,8.75,6520.0,745.14,4,工作日
2023-11-07,高级,14.0,80.0,5.71,3,工作日
2023-11-08,中级,9.0,3140.0,348.89,2,工作日
2023-11-08,初级,6.0,3210.0,535.0,1,工作日
2023-11-08,高级,11.0,0.0,0.0,3,工作日
2023-11-09,中级,6.33,3540.0,559.24,3,工作日
2023-11-09,初级,6.0,2660.0,443.33,1,工作日
2023-11-09,高级,11.67,0.0,0.0,3,工作日
2023-11-10,中级,8.67,1400.0,161.48,3,工作日
2023-11-10,高级,10.5,0.0,0.0,2,工作日
2023-11-11,中级,11.67,3570.0,305.91,3,周末
2023-11-11,高级,8.8,1940.0,220.45,5,周末
2023-11-12,中级,9.67,1190.0,123.06,3,周末
2023-11-12,初级,6.0,2050.0,341.67,1,周末
2023-11-12,高级,10.0,7300.0,730.0,4,周末
2023-11-13,中级,8.0,360.0,45.0,3,工作日
2023-11-13,初级,2.0,560.0,280.0,1,工作日
2023-11-13,高级,8.0,0.0,0.0,2,工作日
2023-11-14,中级,7.0,2670.0,381.43,4,工作日
2023-11-14,初级,3.0,1310.0,436.67,1,工作日
2023-11-14,高级,13.0,3780.0,290.77,2,工作日
2023-11-15,中级,9.75,5090.0,522.05,4,工作日
2023-11-15,高级,13.0,0.0,0.0,2,工作日
2023-11-16,中级,6.5,9190.0,1413.85,4,工作日
2023-11-16,高级,18.0,0.0,0.0,2,工作日
2023-11-17,中级,7.5,3151.0,420.13,4,工作日
2023-11-17,高级,5.2,0.0,0.0,5,工作日
2023-11-18,中级,5.33,6140.0,1151.97,3,周末
2023-11-18,高级,20.67,0.0,0.0,3,周末
2023-11-19,中级,13.67,4130.0,302.12,3,周末
2023-11-19,初级,8.0,4540.0,567.5,1,周末
2023-11-19,高级,12.8,0.0,0.0,5,周末
2023-11-20,中级,9.5,0.0,0.0,2,工作日
2023-11-20,初级,4.0,1870.0,467.5,1,工作日
2023-11-20,高级,6.33,0.0,0.0,3,工作日
2023-11-21,中级,6.6,4610.0,698.48,5,工作日
2023-11-21,初级,4.0,2530.0,632.5,1,工作日
2023-11-21,高级,10.75,0.0,0.0,4,工作日
2023-11-22,中级,7.8,2590.0,332.05,5,工作日
2023-11-22,高级,14.0,0.0,0.0,2,工作日
2023-11-23,中级,5.5,7540.0,1370.91,4,工作日
2023-11-23,高级,15.33,0.0,0.0,3,工作日
2023-11-24,中级,6.0,5860.0,976.67,5,工作日
2023-11-24,高级,7.0,0.0,0.0,4,工作日
2023-11-25,中级,6.75,4340.0,642.96,4,周末
2023-11-25,高级,10.0,0.0,0.0,4,周末
2023-11-26,中级,7.33,3930.0,536.15,3,周末
2023-11-26,初级,7.0,3090.0,441.43,1,周末
2023-11-26,高级,12.2,0.0,0.0,5,周末
2023-11-27,中级,7.0,0.0,0.0,4,工作日
2023-11-27,初级,7.0,1940.0,277.14,1,工作日
2023-11-27,高级,4.5,0.0,0.0,2,工作日
2023-11-28,中级,11.5,2600.0,226.09,4,工作日
2023-11-28,初级,5.0,2370.0,474.0,1,工作日
2023-11-28,高级,11.0,0.0,0.0,3,工作日
2023-11-29,中级,7.5,2650.0,353.33,2,工作日
2023-11-29,初级,6.0,2590.0,431.67,1,工作日
2023-11-29,高级,11.33,450.0,39.72,3,工作日
2023-11-30,中级,9.33,4350.0,466.24,3,工作日
2023-11-30,高级,5.4,0.0,0.0,5,工作日
